gene_id	S_2_Rem_5dpi_S70001	S_2_SARS_5dpi_S70003	S_2_mock_5dpi_S70002	S_3_Rem_5dpi_S69995	S_3_SARS_5dpi_S69996	S_3_mock_5dpi_S69997
ENSG00000223972	9	1	7	0	0	0
ENSG00000227232	66	38	59	81	25	80
ENSG00000278267	0	0	0	0	0	0
ENSG00000243485	6	0	3	0	0	10
ENSG00000284332	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	31	0
ENSG00000186092	0	0	0	0	0	0
ENSG00000238009	2	5	8	14	0	0
ENSG00000239945	0	0	0	0	0	0
ENSG00000233750	1	3	9	7	0	3
ENSG00000268903	3	1	2	0	0	0
ENSG00000269981	6	4	3	2	0	0
ENSG00000239906	1	0	2	0	0	5
ENSG00000241860	3	2	4	8	0	2
ENSG00000222623	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0
ENSG00000279928	6	2	1	0	0	0
ENSG00000279457	32	28	28	65	51	57
ENSG00000273874	0	1	1	1	0	0
ENSG00000228463	35	80	56	79	92	65
ENSG00000286448	0	0	2	0	0	0
ENSG00000236679	0	0	0	1	0	0
ENSG00000236601	0	0	0	0	0	0
ENSG00000237094	5	0	15	17	5	7
ENSG00000269732	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0
ENSG00000233653	2	2	2	1	0	0
ENSG00000250575	4	6	11	2	23	0
ENSG00000278757	0	0	0	0	0	0
ENSG00000230021	2	6	10	4	19	2
ENSG00000235146	0	0	1	0	0	0
ENSG00000225972	1312	1659	1235	857	1515	1022
ENSG00000225630	5788	6115	6461	3460	5743	5260
ENSG00000237973	10056	11869	9227	7317	10503	8116
ENSG00000278791	0	0	0	0	0	0
ENSG00000229344	4624	7179	4034	3430	4957	3773
ENSG00000240409	38	43	38	24	24	13
ENSG00000248527	7024	10245	5526	4297	6303	4980
ENSG00000198744	5918	9243	4277	3496	4283	3969
ENSG00000268663	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0
ENSG00000229376	3	3	4	2	0	1
ENSG00000228327	40	28	91	91	52	47
ENSG00000223181	1	0	0	0	0	0
ENSG00000229905	0	1	0	0	0	0
ENSG00000237491	4	7	39	39	1	0
ENSG00000285268	0	0	0	0	0	0
ENSG00000230092	0	2	3	0	0	8
ENSG00000177757	0	7	5	0	0	12
ENSG00000228794	54	114	92	290	123	120
ENSG00000225880	23	2	19	1	1	2
ENSG00000288531	13	0	2	1	0	54
ENSG00000230368	2	1	0	5	0	1
ENSG00000234711	3	0	5	2	4	0
ENSG00000283040	6	0	0	0	0	0
ENSG00000272438	0	1	0	0	0	5
ENSG00000230699	0	2	0	0	0	0
ENSG00000241180	0	0	0	0	0	0
ENSG00000223764	21	1	3	28	74	0
ENSG00000187634	21	54	39	81	91	78
ENSG00000188976	1096	868	1201	1729	1741	1507
ENSG00000187961	16	3	3	1	0	405
ENSG00000187583	106	159	82	74	237	0
