"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000152463",-9.69288404572903,1.23887775091827,12.8340579519091,0.000340366780689549,1
"ENSG00000189431",-7.63964669087367,1.68630107137147,11.2138088830076,0.000811909051243962,1
"ENSG00000236204",-9.67205588184032,1.21948432162348,11.132494086593,0.000848284534255354,1
"ENSG00000272077",-9.28889745828376,0.85247934451343,10.4508886931262,0.00122590461143593,1
"ENSG00000204644",-10.5712924930759,2.09356178525234,10.0792787189879,0.00149946018591616,1
"ENSG00000189419",-9.21910643389429,0.7862748919459,10.0153616016137,0.00155239933831959,1
"ENSG00000175820",-8.94353727428791,0.525094178038163,9.92111132037902,0.00163393694724441,1
"ENSG00000179921",-9.51709802938753,1.07099474604513,9.6347805868137,0.00190927012112076,1
"ENSG00000213187",-8.88202883866155,0.468082952130873,9.21200645471046,0.00240433034535207,1
"ENSG00000139973",-8.85934490971635,0.446822804671049,9.16612235597259,0.00246536388770586,1
"ENSG00000274317",-8.90407665590997,0.489007326778788,9.02503630668662,0.00266306636411086,1
"ENSG00000108352",-8.50201708045422,0.113650660820401,8.9097036428122,0.0028365929552047,1
"ENSG00000240057",-8.98754559483989,0.563323452024356,8.75522436034173,0.00308716391147975,1
"ENSG00000236289",-8.72425688594808,0.321017307085911,8.63777310705268,0.00329263656411365,1
"ENSG00000262406",-8.68609845581943,0.285531453223842,8.57509792284543,0.00340791628564015,1
"ENSG00000256420",-8.49739965063886,0.110545871954967,8.53364502971183,0.00348640778141866,1
"ENSG00000107036",-2.88466221664119,3.78633151911406,8.52812883378381,0.00349699042749054,1
"ENSG00000256981",-8.38695058233574,0.00883472867987666,8.44920402365621,0.00365203243227606,1
"ENSG00000282943",-8.91731523474229,0.501895502411284,8.44060881460568,0.00366933383787655,1
"ENSG00000145244",-8.64009701765719,0.243012182673929,8.35543316870666,0.00384535787110115,1
"ENSG00000163349",-2.36219192757755,4.26029643023683,8.26944739865109,0.00403177759280837,1
"ENSG00000170390",-8.21851106480283,-0.144129678815649,8.01062230051524,0.00465037542953726,1
"ENSG00000146433",-1.75805068434857,5.87054248063469,7.96162062686308,0.00477796138665973,1
"ENSG00000259598",-8.1639951835716,-0.193436285718404,7.93303175028688,0.00485403980675578,1
"ENSG00000277151",-8.09750276595249,-0.25304015105199,7.75454381605977,0.00535775728542728,1
"ENSG00000188352",-2.70323579370408,3.84279663529066,7.68532888500205,0.00556715334067785,1
"ENSG00000249437",-8.76663106103448,0.361347242909547,7.60543202783261,0.00581927192122162,1
"ENSG00000196376",-6.68364216151812,1.19195527881098,7.60367606165225,0.00582494189991002,1
"ENSG00000280054",-8.19984182475019,-0.159916855661029,7.5178581544983,0.00610902749692714,1
"ENSG00000245105",-8.84651501819894,0.436013036562969,7.50237247606532,0.00616177690751853,1
"ENSG00000278570",-7.92781649203403,-0.404430174268476,7.47153631262955,0.0062682039520201,1
"ENSG00000135913",-3.26941549349054,4.28622758857132,7.45524934841112,0.00632517162536785,1
"ENSG00000125531",-7.92745137529746,-0.403997492075146,7.24579818997615,0.00710671159068292,1
"ENSG00000268858",-6.15140957466515,1.37163043635156,7.23737958921359,0.00714011128001447,1
"ENSG00000167653",-9.11385836650495,0.687576532539224,7.21523217096153,0.00722874634741766,1
"ENSG00000196453",-8.19939451085102,-0.15968689929878,7.11213785297873,0.00765637464359231,1
"ENSG00000254561",-6.59823365179123,0.723910021447716,6.99356906932924,0.00818030769761554,1
"ENSG00000250189",-7.71173477664589,-0.598936483089156,6.96872417577521,0.00829466156665448,1
"ENSG00000283757",-7.67155990054311,-0.628855255320127,6.96731879813124,0.00830117877698438,1
"ENSG00000180694",-3.4528410262355,3.11722667824662,6.93838736782427,0.00843651395277171,1
"ENSG00000237126",-7.51339187924332,-0.765554931094634,6.81984959680383,0.00901501600441153,1
"ENSG00000237522",-7.4080609950864,-0.857179139585848,6.78324948892559,0.00920172232308472,1
"ENSG00000125869",-8.17177856241887,-0.184235130493954,6.78107494417006,0.00921293906031404,1
"ENSG00000253741",-7.36847820042142,-0.891725857508242,6.65709024122378,0.00987620515260423,1
"ENSG00000286545",-9.76991572187824,1.31449701685458,6.6320340613544,0.0100160824682847,1
"ENSG00000251372",-7.28538276745904,-0.959675937175322,6.58668375347516,0.0102744389399684,1
"ENSG00000233220",-7.99581125768921,-0.341811956072131,6.57564930762416,0.0103383281848952,1
"ENSG00000267248",-7.99581125768921,-0.341811956072131,6.57564930762416,0.0103383281848952,1
"ENSG00000278041",-8.68149631356984,0.282613833012061,6.55386143588053,0.0104656785038776,1
"ENSG00000286943",-8.26638113705654,-0.106550522239015,6.54057022860919,0.0105441546040602,1
"ENSG00000262920",-7.24207040902449,-0.995501000062263,6.51343277230174,0.0107062633948654,1
"ENSG00000169372",-1.94285841742301,4.58823006764348,6.50864470790094,0.0107351296837813,1
"ENSG00000124721",-7.36792007782715,-0.888219773410937,6.49668489755064,0.0108075822623025,1
"ENSG00000274964",-8.60177544481774,0.208822670026591,6.45031456672731,0.0110932699445882,1
"ENSG00000171877",-5.11876214737495,1.53088121925391,6.36960213053907,0.0116091621494263,1
"ENSG00000231298",-6.04818635440469,1.10276274958332,6.35272887338737,0.0117200880323116,1
"ENSG00000282849",-7.14196095363927,-1.07721442930637,6.31409257821788,0.0119782031491328,1
"ENSG00000269867",-7.31868133688437,-0.928869647006546,6.30047574549859,0.0120705573774078,1
"ENSG00000214851",-8.5845349696219,0.185426145866333,6.30015283961961,0.0120727562954634,1
